mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__border_count,param_model__depth,param_model__iterations,param_model__l2_leaf_reg,param_model__learning_rate,param_model__random_strength,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank,train_auc,cv_auc,cv_std,gap,iterations,depth,learning_rate,l2_leaf_reg,random_strength,subsample,border_count
4.977124643325806,0.14083438115463087,0.04429903030395508,0.014861788906168292,128,7,1360,1.7324238895039272,0.043432168951637505,1.032833974654988,0.7837498258560773,"{'model__border_count': 128, 'model__depth': 7, 'model__iterations': 1360, 'model__l2_leaf_reg': np.float64(1.7324238895039272), 'model__learning_rate': np.float64(0.043432168951637505), 'model__random_strength': np.float64(1.032833974654988), 'model__subsample': np.float64(0.7837498258560773)}",0.8854010025062656,0.9081489956775999,0.8506864988558351,0.8841851004322401,0.8999491482329011,0.8856741491409682,0.019673951680003767,25,0.9994755911517925,0.9990341376907974,0.9989153841281905,0.9986976692634112,0.9990143454303629,0.999027425532911,0.0002539137797520228,25,0.999027425532911,0.8856741491409682,0.019673951680003767,0.11335327639194281,1360.0,7.0,0.043432168951637505,1.7324238895039272,1.032833974654988,0.7837498258560773,128.0
2.7095359802246093,0.0681896818169729,0.05477228164672852,0.01694068421763707,128,6,958,13.39433470675048,0.026471868808879737,1.5958573588141267,0.6561753482887408,"{'model__border_count': 128, 'model__depth': 6, 'model__iterations': 958, 'model__l2_leaf_reg': np.float64(13.39433470675048), 'model__learning_rate': np.float64(0.026471868808879737), 'model__random_strength': np.float64(1.5958573588141267), 'model__subsample': np.float64(0.6561753482887408)}",0.8927944862155388,0.9212433257055683,0.8683574879227053,0.9120264429188915,0.9154589371980676,0.9019761359921542,0.01933150479280067,10,0.9767829900839055,0.9739533852682247,0.983453670276775,0.9746381974792577,0.9754932231300273,0.976864293247638,0.00342739611771294,10,0.976864293247638,0.9019761359921542,0.01933150479280067,0.07488815725548381,958.0,6.0,0.026471868808879737,13.39433470675048,1.5958573588141267,0.6561753482887408,128.0
2.6987773418426513,0.05651942547757724,0.034216451644897464,0.0016516038250484002,64,7,913,1.8891200276189386,0.008277688526305602,0.20492680115417347,0.7412726728878614,"{'model__border_count': 64, 'model__depth': 7, 'model__iterations': 913, 'model__l2_leaf_reg': np.float64(1.8891200276189386), 'model__learning_rate': np.float64(0.008277688526305602), 'model__random_strength': np.float64(0.20492680115417347), 'model__subsample': np.float64(0.7412726728878614)}",0.8981829573934837,0.9213704551233155,0.8665776760742435,0.9110094075769133,0.9098652428171878,0.9014011477970287,0.01889848527211009,11,0.9836082506992119,0.9801206536196085,0.9864779276711635,0.9815259041104566,0.9839128507188549,0.9831291173638592,0.002176211572225594,11,0.9831291173638592,0.9014011477970287,0.01889848527211009,0.08172796956683048,913.0,7.0,0.008277688526305602,1.8891200276189386,0.20492680115417347,0.7412726728878614,64.0
5.153345346450806,0.4646580217911015,0.038970136642456056,0.0158299527570058,64,8,1247,1.0715314115595198,0.02142208110044553,0.47791624922363213,0.6639996989640846,"{'model__border_count': 64, 'model__depth': 8, 'model__iterations': 1247, 'model__l2_leaf_reg': np.float64(1.0715314115595198), 'model__learning_rate': np.float64(0.02142208110044553), 'model__random_strength': np.float64(0.47791624922363213), 'model__subsample': np.float64(0.6639996989640846)}",0.8800125313283208,0.911072972285787,0.8518306636155606,0.8876175947114162,0.9042715484363082,0.8869610620754786,0.020803341859601785,24,0.9993325705568268,0.9985432896320222,0.998741212236367,0.998515580467414,0.998709544619672,0.9987684395024605,0.00029566329954901704,24,0.9987684395024605,0.8869610620754786,0.020803341859601785,0.11180737742698188,1247.0,8.0,0.02142208110044553,1.0715314115595198,0.47791624922363213,0.6639996989640846,64.0
3.5627444267272947,0.08526225425895517,0.04249720573425293,0.01947734472160598,254,6,1375,4.666963767236923,0.02584093506411774,0.11992724522955164,0.8322634555704316,"{'model__border_count': 254, 'model__depth': 6, 'model__iterations': 1375, 'model__l2_leaf_reg': np.float64(4.666963767236923), 'model__learning_rate': np.float64(0.02584093506411774), 'model__random_strength': np.float64(0.11992724522955164), 'model__subsample': np.float64(0.8322634555704316)}",0.8910401002506266,0.910564454614798,0.8661962878210018,0.9055428426137807,0.914187643020595,0.8975062656641603,0.01752425305649147,14,0.9954392321383169,0.9933656343023625,0.9952538159478117,0.9932983406168852,0.9942800367344353,0.9943274119479621,0.0009033954794545087,14,0.9943274119479621,0.8975062656641603,0.01752425305649147,0.0968211462838019,1375.0,6.0,0.02584093506411774,4.666963767236923,0.11992724522955164,0.8322634555704316,254.0
1.0543910026550294,0.055380926432593965,0.032084417343139646,0.0038191211779662953,32,4,666,1.0405384007798952,0.06815441055023953,0.9057530099130391,0.7656249507619748,"{'model__border_count': 32, 'model__depth': 4, 'model__iterations': 666, 'model__l2_leaf_reg': np.float64(1.0405384007798952), 'model__learning_rate': np.float64(0.06815441055023953), 'model__random_strength': np.float64(0.9057530099130391), 'model__subsample': np.float64(0.7656249507619748)}",0.8795112781954886,0.9185100432240021,0.8528476989575388,0.8775743707093822,0.8921942537503179,0.8841275289673458,0.021400517541024115,27,0.9946724828375286,0.9927322819684591,0.9957486224586737,0.9937258534422698,0.9940544049654823,0.9941867291344828,0.0010020778477048246,27,0.9941867291344828,0.8841275289673458,0.021400517541024115,0.110059200167137,666.0,4.0,0.06815441055023953,1.0405384007798952,0.9057530099130391,0.7656249507619748,32.0
5.964145755767822,0.2668952296757598,0.03366403579711914,0.0052482752579522925,64,8,1397,7.766184280392884,0.01694206788051016,0.16119044727609197,0.7985530730333811,"{'model__border_count': 64, 'model__depth': 8, 'model__iterations': 1397, 'model__l2_leaf_reg': np.float64(7.766184280392884), 'model__learning_rate': np.float64(0.01694206788051016), 'model__random_strength': np.float64(0.16119044727609197), 'model__subsample': np.float64(0.7985530730333811)}",0.8929197994987469,0.9178108314263921,0.8595855580981439,0.9093567251461989,0.9069412662090006,0.8973228360756964,0.02049670958048423,15,0.9933098143910501,0.9914339096839572,0.9941414909113939,0.9933062575210589,0.9928272848185445,0.993003751465201,0.0008916478196411878,15,0.993003751465201,0.8973228360756964,0.02049670958048423,0.09568091538950463,1397.0,8.0,0.01694206788051016,7.766184280392884,0.16119044727609197,0.7985530730333811,64.0
1.960029935836792,0.2529611282837606,0.03709344863891602,0.005292822730833742,128,6,705,3.226870825623663,0.008287129380583217,1.9201554025285228,0.7775467623473734,"{'model__border_count': 128, 'model__depth': 6, 'model__iterations': 705, 'model__l2_leaf_reg': np.float64(3.226870825623663), 'model__learning_rate': np.float64(0.008287129380583217), 'model__random_strength': np.float64(1.9201554025285228), 'model__subsample': np.float64(0.7775467623473734)}",0.9009398496240602,0.9278540554284261,0.889715230104246,0.9135519959318585,0.9138062547673532,0.9091734771711888,0.012930692636675355,2,0.9498553902873124,0.9469765342960289,0.952906295522199,0.9493120210272976,0.9449498068275382,0.9488000095920752,0.002697654230806833,2,0.9488000095920752,0.9091734771711888,0.012930692636675355,0.03962653242088643,705.0,6.0,0.008287129380583217,3.226870825623663,1.9201554025285228,0.7775467623473734,128.0
2.4875930309295655,0.1326729090589432,0.036447000503540036,0.006989430208968412,64,5,1271,1.7398074711291718,0.07353028165154561,2.074566765675251,0.9318496824692568,"{'model__border_count': 64, 'model__depth': 5, 'model__iterations': 1271, 'model__l2_leaf_reg': np.float64(1.7398074711291718), 'model__learning_rate': np.float64(0.07353028165154561), 'model__random_strength': np.float64(2.074566765675251), 'model__subsample': np.float64(0.9318496824692568)}",0.8737468671679198,0.9057335367404017,0.8394991100940757,0.8713450292397661,0.9026188660055937,0.8785886818495513,0.024158647272509357,29,0.9994358632087464,0.9986462093862817,0.9988520488948002,0.9986580847425423,0.9987570460447147,0.998869850455417,0.00029266780230124484,29,0.998869850455417,0.8785886818495513,0.024158647272509357,0.12028116860586568,1271.0,5.0,0.07353028165154561,1.7398074711291718,2.074566765675251,0.9318496824692568,64.0
2.1249863624572756,0.09789533427709378,0.034967660903930664,0.0028719752289307053,64,7,769,8.834921226320052,0.012364150113555718,0.9314664173553301,0.8062502780077472,"{'model__border_count': 64, 'model__depth': 7, 'model__iterations': 769, 'model__l2_leaf_reg': np.float64(8.834921226320052), 'model__learning_rate': np.float64(0.012364150113555718), 'model__random_strength': np.float64(0.9314664173553301), 'model__subsample': np.float64(0.8062502780077472)}",0.8950501253132832,0.9270912789219424,0.8782735825069922,0.9129163488431222,0.9102466310704298,0.9047155933311538,0.016680031675795834,9,0.9606137172641749,0.9586816771169802,0.9695990879726393,0.9637366204319462,0.9643660143137627,0.9633994234199006,0.0037283006668529734,9,0.9633994234199006,0.9047155933311538,0.016680031675795834,0.05868383008874678,769.0,7.0,0.012364150113555718,8.834921226320052,0.9314664173553301,0.8062502780077472,64.0
