iter	Logloss
0	0.6703097531
1	0.6567227103
2	0.6382767239
3	0.6269367052
4	0.6122664361
5	0.6027137657
6	0.5894711366
7	0.579627616
8	0.5720723363
9	0.5615562251
10	0.5501291247
11	0.5399973389
12	0.5327986047
13	0.5267692917
14	0.5189406907
15	0.5154098264
16	0.5085514922
17	0.5034061763
18	0.4981536147
19	0.4919702601
20	0.4875703001
21	0.4831294584
22	0.480210566
23	0.4765736401
24	0.4725210621
25	0.4688385631
26	0.4654689748
27	0.462466321
28	0.4603454143
29	0.4561976758
30	0.4524716535
31	0.4501739279
32	0.4478209805
33	0.4448820181
34	0.4429051387
35	0.4409823769
36	0.4394837764
37	0.436188669
38	0.4347959359
39	0.432932259
40	0.4315006182
41	0.4303157636
42	0.4296628942
43	0.4284677453
44	0.4274593013
45	0.426354637
46	0.4246811098
47	0.4236227692
48	0.4222469155
49	0.4214812769
50	0.42043082
51	0.4190729672
52	0.4189727848
53	0.4179805802
54	0.4168097286
55	0.4161672153
56	0.415034512
57	0.4139898799
58	0.4129311443
59	0.411890331
60	0.4110455318
61	0.4107538909
62	0.4098406335
63	0.4091533481
64	0.4076731958
65	0.4067501278
66	0.4065820136
67	0.4050094792
68	0.4041193475
69	0.4036467696
70	0.4024653373
71	0.4012837151
72	0.3998459172
73	0.3991701963
74	0.3986258265
75	0.3985464595
76	0.3983165977
77	0.397769696
78	0.3970808139
79	0.3964634143
80	0.3956776675
81	0.3949605225
82	0.3944901338
83	0.3944372166
84	0.3939539266
85	0.3932462232
86	0.3923148037
87	0.3918619152
88	0.3912349541
89	0.3907755255
90	0.3903196747
91	0.3898520761
92	0.389331877
93	0.3887812738
94	0.3882156008
95	0.3876217574
96	0.3874482396
97	0.387151076
98	0.3869925435
99	0.3863698763
100	0.3857848164
101	0.3853058739
102	0.384935797
103	0.3846649445
104	0.3843898179
105	0.3843264434
106	0.3839984347
107	0.3829126325
108	0.3823961624
109	0.3820784192
110	0.3817765418
111	0.3810613928
112	0.3802618797
113	0.3794786295
114	0.3789465809
115	0.3789202492
116	0.3785975956
117	0.3781848915
118	0.3779672391
119	0.3776551408
120	0.3772431842
121	0.3770973867
122	0.3762057086
123	0.3759210177
124	0.3758067733
125	0.3754870924
126	0.3749626157
127	0.3745841431
128	0.3743033585
129	0.3740954472
130	0.3737239922
131	0.3734340048
132	0.3731591092
133	0.3726388987
134	0.3721856384
135	0.371825084
136	0.3712487879
137	0.3710555604
138	0.3703290597
139	0.3701138594
140	0.37010907
141	0.3697293964
142	0.3692770484
143	0.3692767364
144	0.369236889
145	0.3690205752
146	0.3690170065
147	0.3684868922
148	0.368477357
149	0.3682274041
150	0.3678571328
151	0.3676923701
152	0.3671777732
153	0.3669920077
154	0.3666618471
155	0.3664651485
156	0.3661577165
157	0.3661281698
158	0.3656571685
159	0.3654624159
160	0.3652145351
161	0.3650043122
162	0.3645929883
163	0.3640664288
164	0.3639204134
165	0.3634055707
166	0.3632307682
167	0.3629790766
168	0.3628607197
169	0.3627657039
170	0.362571508
171	0.3623046877
172	0.3621972618
173	0.3617423266
174	0.3615273286
175	0.361375356
176	0.3612501005
177	0.360920405
178	0.3605703732
179	0.360000226
180	0.3597949653
181	0.3592011603
182	0.3589334802
183	0.3588245966
184	0.3585514953
185	0.3575635971
186	0.357312905
187	0.3568953205
188	0.3568469723
189	0.3566561711
190	0.3566284503
191	0.3565746338
192	0.3563474045
193	0.3561160829
194	0.3558694172
195	0.3553284342
196	0.3552069151
197	0.355023944
198	0.3550181034
199	0.3547915458
200	0.3539316662
201	0.3536536764
202	0.3536536735
203	0.3535327648
204	0.3535111464
205	0.3533518919
206	0.3529878271
207	0.3528613362
208	0.3528573869
209	0.3527313944
210	0.3524814311
211	0.3519968436
212	0.3518968094
213	0.3517223186
214	0.3514978502
215	0.3514783476
216	0.3507361268
217	0.3506469885
218	0.3505640604
219	0.3504233865
220	0.3500507292
221	0.3498455471
222	0.3498065468
223	0.3492487757
224	0.3490046597
225	0.3486065861
226	0.3484746872
227	0.3481217367
228	0.3476835115
229	0.3474214555
230	0.3470701969
231	0.3469209369
232	0.3468837807
233	0.3468304514
234	0.3467756289
235	0.3459486521
236	0.3453662403
237	0.3452993478
238	0.3452647307
239	0.3451019318
240	0.3446750733
241	0.3434826575
242	0.3428907948
243	0.3424378292
244	0.3422275864
245	0.3418185724
246	0.341484429
247	0.3410161376
248	0.3408539234
249	0.3408205818
250	0.3407222349
251	0.3402949831
252	0.3397072568
253	0.339423883
254	0.3391276123
255	0.338944214
256	0.3387623312
257	0.338753156
258	0.3380030056
259	0.3378481395
260	0.3376566395
261	0.3372214143
262	0.3369580947
263	0.3366051371
