split_seed,model_seed,fold,model,train_auc,validation_auc,gap
42,42,1,Champion15,0.9643560894991101,0.9010651629072682,0.06329092659184188
42,42,1,Depth5,0.9585160818713451,0.8960526315789473,0.06246345029239775
